1	3476064
10	3593155
11	3641058
12	3503452
13	3369105
14	3519778
15	3551882
16	3568414
17	3520781
18	3553333
19	3534632
2	3265929
20	3546449
21	3292365
22	3283327
23	3405659
24	3366734
25	3311422
26	3316197
27	2693554
28	3254281
29	3337044
3	3466804
30	3226851
31	2284981
32	2887145
33	3059373
34	3068955
35	2993235
36	3158514
37	3443411
38	3416962
39	3279905
4	3499402
40	3366261
41	3381158
42	3367056
43	3447222
44	3456135
45	3453794
46	3407962
47	3468347
48	2867592
49	3432517
5	3551184
50	3441637
51	3322749
52	2502834
6	3265539
7	3600265
8	3532406
9	3624948
